name,lat,lon,elev_m
WOSB,50.160742464,-126.570362847,945.2828013
WOST,50.212360961,-126.604953064,136.6377145
WSKY,40.603399686,-122.55641656,469.0078036
WSLB,50.126538685,-122.921191071,909.4062495
WVN3,49.351720682,-123.251051541,161.5340234
YACH,44.292955389,-124.080436299,418.3194462
YBH2,41.731654696,-122.7107387,1065.8026949
YBHB,41.7316554,-122.710735727,1065.6825444
YCS2,46.941248771,-122.590563226,91.4266957
YELM,46.948716942,-122.605734967,81.9933915
YOCR,45.379101968,-121.743553171,1884.2695266
YONC,43.634111315,-123.298300868,86.4919472
ZSE1,47.286993662,-122.188372072,82.0649443
