name,lat,lon,elev_m
FRID,48.535223964,-123.018113052,11.3884734
FSRH,49.138009534,-122.28767238,30.7487081
FTS5,46.204887536,-123.956094585,-13.7124209
FTS6,46.205162761,-123.956012144,-13.502428
GASB,39.654707238,-122.715930528,1361.9373971
GBN1,44.564578048,-121.439286546,864.9025579
GBN2,44.559240795,-121.565284402,1270.7103191
GBN3,44.548397508,-121.712580516,1143.5687168
GBN4,44.568049096,-122.102143929,1342.4846414
GBN5,44.602144864,-122.236024459,1329.3777345
GBN6,44.424866691,-121.422866285,823.6670054
GHCC,46.952586407,-123.802061375,32.3580312
GHCL,46.952524853,-123.801894875,36.7717799
GLDR,49.681485495,-126.127331934,-9.3548161
GLNW,46.019872982,-121.288734222,567.1894501
GLWD,46.019828332,-121.288607916,561.0038236
GRMD,46.795486018,-123.022597573,30.7860815
GRP4,48.194667851,-122.127286296,22.1681895
GTPS,42.434494011,-123.29737987,278.598589
GWN5,45.782632873,-121.327562645,732.5408459
GWN6,45.782628152,-121.327254467,733.2459743
HAHD,47.290800632,-121.788083905,853.9850405
HCRO,40.815917334,-121.469898745,1000.1398619
HGP1,47.01929383,-122.921056582,99.6412793
HLSY,44.377564685,-123.109118273,71.9081816
HOLB,50.640353746,-128.134996932,559.5990253
HUSB,44.119526303,-121.849361486,2038.3981895
IWAC,46.305881494,-124.039429968,-14.1741709
JIME,45.523118877,-122.990528503,53.0456285
JKPR,46.535022252,-122.837938182,148.6503787
JOBO,48.562370441,-122.437300277,-11.5256011
JORD,48.43306354,-124.053857357,88.765853
JRO1,46.275124507,-122.217615864,1275.5931682
KELS,46.118177477,-122.896069109,-15.9383858
KFRC,42.2241712,-121.783880581,1240.1883528
KNTP,47.425111059,-122.257608332,-6.5173087
KRMT,47.802875803,-122.320989919,84.2874875
KTBW,47.547319611,-122.795417868,491.5606104
KWBU,43.752384377,-121.312003985,1762.5611213
LAN8,49.100485857,-122.685033577,-1.1042534
LAPN,43.664601123,-121.506004581,1278.9357122
LCSO,44.634351391,-123.106665383,59.0922473
LFLO,43.983605611,-124.107708584,-6.4002737
LINL,44.178587624,-121.902665683,1213.4404022
LKCP,47.944379629,-121.830852755,178.2649999
LNG2,49.05805036,-122.703289922,36.0621382
LNGB,47.21878571,-122.758315504,2.4359448
LPSB,44.051228557,-123.090085508,117.7010683
LSIG,47.695201067,-121.689564813,527.1995496
LSON,45.359532538,-121.647227934,1999.4342887
LWCK,46.278132944,-124.053846231,39.0512337
LYT1,50.240700307,-121.384243725,1077.5558663
MCSO,44.973810697,-122.955749152,52.7953414
MDMT,42.418341659,-121.221599383,1710.5802488
MDRS,44.664029861,-121.130418998,735.9183767
MECR,44.085250254,-121.825167155,1812.6422839
MGRB,48.999694529,-124.697079759,1289.2583736
MHTL,45.328669217,-121.711161852,1750.3161953
MIS1,49.159235022,-122.287611992,132.5494062
MKAH,48.370674327,-124.589224023,23.650591
MON3,46.982854694,-123.603556779,8.0299579
MOOT,44.051541892,-121.669427915,2254.3472568
MPAQ,46.059835743,-122.259856944,175.0382649
MPRG,49.21081636,-122.660693677,-6.0413105
MRIB,49.467016475,-123.914076608,-7.758605
MRSD,46.785345173,-121.742039322,1629.7355941
MUIR,46.83563318,-121.733159776,3067.7375541
MYRA,49.550975817,-125.570725288,605.7772988
MZNT,45.701528094,-123.930860863,-12.4822876
NAJF,44.716681524,-123.268258845,96.27418
NANA,49.163829874,-123.938138382,15.8555216
NANI,49.107224436,-123.896752213,54.6131873
NANO,49.294810454,-124.08647916,6.5811745
NARL,48.176684923,-122.15172558,25.1642772
NCOW,48.823915379,-123.719880554,31.1378266
NCS2,50.403052359,-126.05587785,1285.6772686
NEAH,48.297854889,-124.624906942,459.8591675
NEWP,44.585024726,-124.061886586,20.4443063
NINT,47.495097742,-121.797084561,127.3213684
NORM,43.738875487,-121.252721096,2161.3829642
NOSE,43.91190256,-123.738723357,848.998161
NSTS,47.649179429,-122.341780437,-9.2527101
NTKA,49.59236314,-126.616611314,-1.5568254
